Date,location,key,month,0m,1m,value
2017-04-10,Tainoura (Isoyake),GEP,4,14.984538186385812,12.35750478539857,27.34204297178438
2017-04-10,Tainoura (Isoyake),NEP,4,2.9511438770448706,2.5493266952167914,5.500470572261662
2017-04-10,Tainoura (Isoyake),RP,4,12.033394309340942,9.808178090181778,21.84157239952272
2017-04-10,Arikawa (Sargassum),GEP,4,10.743041222374108,7.993637197651816,18.736678420025925
2017-04-10,Arikawa (Sargassum),NEP,4,0.41758554931625724,0.4207643846392273,0.8383499339554845
2017-04-10,Arikawa (Sargassum),RP,4,10.325455673057851,7.572872813012589,17.89832848607044
2017-04-11,Tainoura (Isoyake),GEP,4,8.595357467175361,7.61758144605954,16.2129389132349
2017-04-11,Tainoura (Isoyake),NEP,4,1.520532633145777,1.234534862319947,2.755067495465724
2017-04-11,Tainoura (Isoyake),RP,4,7.074824834029584,6.383046583739593,13.457871417769177
2017-04-11,Arikawa (Sargassum),GEP,4,2.722568237489371,NA,NA
2017-04-11,Arikawa (Sargassum),NEP,4,1.970167827277436,NA,NA
2017-04-11,Arikawa (Sargassum),RP,4,0.7524004102119355,NA,NA
2017-04-12,Tainoura (Isoyake),GEP,4,20.645073987921098,17.9280891650071,38.5731631529282
2017-04-12,Tainoura (Isoyake),NEP,4,5.918841738644431,5.3597863123364675,11.278628050980899
2017-04-12,Tainoura (Isoyake),RP,4,14.726232249276666,12.568302852670634,27.2945351019473
2017-04-12,Arikawa (Sargassum),GEP,4,24.851996460727683,19.65076295665108,44.50275941737876
2017-04-12,Arikawa (Sargassum),NEP,4,8.360805423297535,7.789391359072084,16.15019678236962
2017-04-12,Arikawa (Sargassum),RP,4,16.49119103743015,11.861371597578996,28.352562635009143
2017-04-13,Tainoura (Isoyake),GEP,4,26.863065166853634,26.544182254768874,53.40724742162251
2017-04-13,Tainoura (Isoyake),NEP,4,6.835991658187268,6.803432233407847,13.639423891595115
2017-04-13,Tainoura (Isoyake),RP,4,20.027073508666366,19.740750021361027,39.76782353002739
2017-04-13,Arikawa (Sargassum),GEP,4,51.32819334360952,NA,NA
2017-04-13,Arikawa (Sargassum),NEP,4,15.906530381197825,NA,NA
2017-04-13,Arikawa (Sargassum),RP,4,35.421662962411695,NA,NA
2017-04-14,Tainoura (Isoyake),GEP,4,30.284027562007132,28.482219037947942,58.766246599955075
2017-04-14,Tainoura (Isoyake),NEP,4,9.76365112878419,9.951006155386466,19.714657284170656
2017-04-14,Tainoura (Isoyake),RP,4,20.520376433222943,18.531212882561476,39.05158931578442
2017-04-14,Arikawa (Sargassum),GEP,4,57.32254879820209,58.383394963162694,115.70594376136478
2017-04-14,Arikawa (Sargassum),NEP,4,10.779842716182486,10.806309252060942,21.586151968243428
2017-04-14,Arikawa (Sargassum),RP,4,46.542706082019606,47.57708571110175,94.11979179312135
2017-04-15,Tainoura (Isoyake),GEP,4,33.78469431530921,21.400718469743488,55.1854127850527
2017-04-15,Tainoura (Isoyake),NEP,4,9.306932534247636,6.643565676188956,15.950498210436592
2017-04-15,Tainoura (Isoyake),RP,4,24.477761781061574,14.75715279355453,39.234914574616106
2017-04-15,Arikawa (Sargassum),GEP,4,68.50297165069907,62.09287301623423,130.5958446669333
2017-04-15,Arikawa (Sargassum),NEP,4,15.861144521977621,13.69447567685711,29.55562019883473
2017-04-15,Arikawa (Sargassum),RP,4,52.64182712872145,48.39839733937712,101.04022446809857
2017-04-16,Tainoura (Isoyake),GEP,4,35.17318493132474,27.648397810006387,62.82158274133113
2017-04-16,Tainoura (Isoyake),NEP,4,10.734454192869336,9.308456373767982,20.042910566637318
2017-04-16,Tainoura (Isoyake),RP,4,24.4387307384554,18.339941436238405,42.77867217469381
2017-04-16,Arikawa (Sargassum),GEP,4,74.6051811849155,30.281051310325893,104.88623249524139
2017-04-16,Arikawa (Sargassum),NEP,4,17.780142931504983,5.661018512961746,23.44116144446673
2017-04-16,Arikawa (Sargassum),RP,4,56.82503825341052,24.620032797364146,81.44507105077466
2017-04-17,Tainoura (Isoyake),GEP,4,3.2233029582588406,5.717359556110068,8.94066251436891
2017-04-17,Tainoura (Isoyake),NEP,4,-2.59317581154761,-2.230323751787111,-4.823499563334721
2017-04-17,Tainoura (Isoyake),RP,4,5.816478769806451,7.947683307897179,13.76416207770363
2017-04-17,Arikawa (Sargassum),GEP,4,NA,15.689933349981036,NA
2017-04-17,Arikawa (Sargassum),NEP,4,NA,1.0646959193287842,NA
2017-04-17,Arikawa (Sargassum),RP,4,NA,14.625237430652252,NA
2017-04-18,Tainoura (Isoyake),GEP,4,44.70511396346086,20.21624872530016,64.92136268876102
2017-04-18,Tainoura (Isoyake),NEP,4,11.548142848027965,6.49944755138776,18.047590399415725
2017-04-18,Tainoura (Isoyake),RP,4,33.156971115432896,13.716801173912401,46.8737722893453
2017-04-18,Arikawa (Sargassum),GEP,4,74.75235977258632,85.17613586548224,159.92849563806857
2017-04-18,Arikawa (Sargassum),NEP,4,23.93137663831446,25.300900217482436,49.2322768557969
2017-04-18,Arikawa (Sargassum),RP,4,50.82098313427186,59.8752356479998,110.69621878227167
2017-04-19,Tainoura (Isoyake),GEP,4,24.096158432504566,19.34180194358559,43.43796037609016
2017-04-19,Tainoura (Isoyake),NEP,4,5.42128906025674,4.506841949377005,9.928131009633745
2017-04-19,Tainoura (Isoyake),RP,4,18.674869372247827,14.834959994208585,33.509829366456415
2017-04-19,Arikawa (Sargassum),GEP,4,40.60263866357009,34.89394586749535,75.49658453106544
2017-04-19,Arikawa (Sargassum),NEP,4,12.188029737469463,11.563805983552555,23.75183572102202
2017-04-19,Arikawa (Sargassum),RP,4,28.414608926100627,23.33013988394279,51.74474881004342
2017-04-20,Tainoura (Isoyake),GEP,4,21.578091338855916,14.520579464739049,36.09867080359496
2017-04-20,Tainoura (Isoyake),NEP,4,4.804886947088249,3.9081000661003173,8.712987013188567
2017-04-20,Tainoura (Isoyake),RP,4,16.773204391767667,10.612479398638731,27.385683790406397
2017-04-20,Arikawa (Sargassum),GEP,4,44.81774132341731,44.739938336684006,89.55767966010131
2017-04-20,Arikawa (Sargassum),NEP,4,7.042342916374622,6.4852683153109325,13.527611231685555
2017-04-20,Arikawa (Sargassum),RP,4,37.77539840704269,38.25467002137307,76.03006842841576
2017-04-21,Tainoura (Isoyake),GEP,4,17.600422492747988,17.804285534956456,35.404708027704444
2017-04-21,Tainoura (Isoyake),NEP,4,5.295345529619411,5.117948205271006,10.413293734890416
2017-04-21,Tainoura (Isoyake),RP,4,12.305076963128577,12.68633732968545,24.991414292814028
2017-04-21,Arikawa (Sargassum),GEP,4,39.654169137510294,36.00391422632221,75.6580833638325
2017-04-21,Arikawa (Sargassum),NEP,4,11.944296637507179,11.088045810081937,23.032342447589116
2017-04-21,Arikawa (Sargassum),RP,4,27.70987250000312,24.915868416240272,52.62574091624339
2017-04-22,Tainoura (Isoyake),GEP,4,24.224363948539107,19.77961970237585,44.00398365091496
2017-04-22,Tainoura (Isoyake),NEP,4,4.674353921387819,4.521671981882136,9.196025903269955
2017-04-22,Tainoura (Isoyake),RP,4,19.550010027151288,15.257947720493714,34.807957747645005
