Date,location,key,value,month,X1
2017-06-01,Tainoura (Isoyake),RP,29.676431891656662,6,NA
2017-06-01,Arikawa (Sargassum),RP,80.16849122273662,6,NA
2017-06-02,Tainoura (Isoyake),RP,18.230632175347885,6,NA
2017-06-03,Tainoura (Isoyake),RP,36.83483277103911,6,NA
2017-06-03,Arikawa (Sargassum),RP,35.70216802205602,6,NA
2017-06-04,Tainoura (Isoyake),RP,26.433753195345332,6,NA
2017-06-04,Arikawa (Sargassum),RP,29.738861978516052,6,NA
2017-06-05,Tainoura (Isoyake),RP,24.373530571424137,6,NA
2017-06-05,Arikawa (Sargassum),RP,49.880042787666994,6,NA
2017-06-06,Tainoura (Isoyake),RP,37.15172832526479,6,NA
2017-06-07,Tainoura (Isoyake),RP,7.673985051414043,6,NA
2017-06-07,Arikawa (Sargassum),RP,67.48397713204669,6,NA
2017-06-08,Tainoura (Isoyake),RP,46.284448570588665,6,NA
2017-06-08,Arikawa (Sargassum),RP,10.932212640029146,6,NA
2017-06-09,Tainoura (Isoyake),RP,5.279728532470734,6,NA
2017-06-09,Arikawa (Sargassum),RP,36.85651158840994,6,NA
2017-06-10,Tainoura (Isoyake),RP,32.79649483310517,6,NA
2017-06-10,Arikawa (Sargassum),RP,19.595924147241206,6,NA
2017-06-11,Arikawa (Sargassum),RP,59.60142644875559,6,NA
2017-06-12,Tainoura (Isoyake),RP,48.53516999181357,6,NA
2017-06-12,Arikawa (Sargassum),RP,0.027860862891512544,6,NA
2017-07-21,Tainoura (Isoyake),RP,19.31743168657853,7,NA
2017-07-23,Tainoura (Isoyake),RP,17.561836063111052,7,NA
2017-07-26,Tainoura (Isoyake),RP,1.8651158447376304,7,NA
2017-07-27,Tainoura (Isoyake),RP,3.1594080146042813,7,NA
2017-07-28,Tainoura (Isoyake),RP,0.9365791427931924,7,NA
2017-07-31,Tainoura (Isoyake),RP,21.155079752919903,7,NA
2017-08-01,Tainoura (Isoyake),RP,16.926486826040588,8,NA
2017-08-02,Tainoura (Isoyake),RP,22.864739583326354,8,NA
2017-08-03,Tainoura (Isoyake),RP,21.094429561358652,8,NA
2017-08-11,Tainoura (Isoyake),RP,7.5386866032302216,8,NA
