"","Date","location","key","value","month"
"85",2018-04-03,"Mushima (New port)","RP",53.2891701371948,4
"86",2018-04-04,"Mushima (New port)","RP",51.5482385869268,4
"87",2018-04-05,"Mushima (New port)","RP",50.6096665986444,4
"88",2018-04-06,"Mushima (New port)","RP",39.699660158825,4
"89",2018-04-07,"Mushima (New port)","RP",6.84926568017245,4
"90",2018-04-08,"Mushima (New port)","RP",17.7893092575945,4
"91",2018-04-09,"Mushima (New port)","RP",27.3651096073934,4
"92",2018-04-10,"Mushima (New port)","RP",26.0912666050772,4
"93",2018-04-11,"Mushima (New port)","RP",45.9551985138358,4
"94",2018-04-12,"Mushima (New port)","RP",37.9121630873657,4
"95",2018-04-13,"Mushima (New port)","RP",28.5032074598917,4
"96",2018-04-14,"Mushima (New port)","RP",11.582433031744,4
"97",2018-04-15,"Mushima (New port)","RP",22.7043917878526,4
"98",2018-04-20,"Mushima (Old port)","RP",7.22468240152434,4
"99",2018-04-20,"Mushima (New port)","RP",71.5088626873304,4
"100",2018-04-21,"Mushima (Old port)","RP",19.6554380152391,4
"101",2018-04-21,"Mushima (New port)","RP",61.6185337795859,4
"102",2018-04-22,"Mushima (Old port)","RP",17.0740871277717,4
"103",2018-04-22,"Mushima (New port)","RP",47.5009318434627,4
"104",2018-04-23,"Mushima (Old port)","RP",25.541327322988,4
"105",2018-04-23,"Mushima (New port)","RP",48.5752200820117,4
"106",2018-04-24,"Mushima (Old port)","RP",26.8895240499489,4
"107",2018-04-24,"Mushima (New port)","RP",28.216125958983,4
"108",2018-04-25,"Mushima (Old port)","RP",29.4989854401194,4
"109",2018-04-25,"Mushima (New port)","RP",6.46508456213001,4
"110",2018-04-26,"Mushima (Old port)","RP",34.0333350942274,4
"111",2018-04-26,"Mushima (New port)","RP",34.6523390333512,4
"112",2018-04-27,"Mushima (Old port)","RP",17.4301089254942,4
"113",2018-04-27,"Mushima (New port)","RP",52.4597214822874,4
"114",2018-04-28,"Mushima (Old port)","RP",29.9827721908372,4
"115",2018-04-28,"Mushima (New port)","RP",40.7462792786234,4
"116",2018-04-29,"Mushima (Old port)","RP",24.7534320589196,4
"117",2018-04-29,"Mushima (New port)","RP",48.2180616687335,4
"118",2018-04-30,"Mushima (Old port)","RP",30.8923828909188,4
"119",2018-04-30,"Mushima (New port)","RP",62.0842310113948,4
"120",2018-05-01,"Mushima (Old port)","RP",35.7996035809209,5
"121",2018-05-01,"Mushima (New port)","RP",31.1098638236249,5
"122",2018-05-02,"Mushima (Old port)","RP",4.41603834927685,5
"123",2018-05-02,"Mushima (New port)","RP",31.0778691136311,5
"124",2018-05-03,"Mushima (New port)","RP",21.0255184955452,5
"125",2018-05-04,"Mushima (Old port)","RP",21.572486925507,5
"126",2018-05-04,"Mushima (New port)","RP",25.2032647545931,5
"127",2018-05-05,"Mushima (Old port)","RP",10.1016081541029,5
"128",2018-05-05,"Mushima (New port)","RP",49.1333365003812,5
"129",2018-05-06,"Mushima (Old port)","RP",14.5393520387366,5
"130",2018-05-06,"Mushima (New port)","RP",23.7063647433254,5
"131",2018-05-07,"Mushima (Old port)","RP",24.1596180429106,5
"132",2018-05-07,"Mushima (New port)","RP",25.1848202362915,5
"133",2018-05-08,"Mushima (Old port)","RP",20.6488146298355,5
"134",2018-05-08,"Mushima (New port)","RP",8.44287152382396,5
"135",2018-05-09,"Mushima (Old port)","RP",31.4899033668696,5
"136",2018-05-09,"Mushima (New port)","RP",17.4243017361265,5
"137",2018-05-10,"Mushima (Old port)","RP",26.8262119265465,5
"138",2018-05-11,"Mushima (Old port)","RP",6.01402811638619,5
"139",2018-05-11,"Mushima (New port)","RP",16.9549405928864,5
"140",2018-05-12,"Mushima (Old port)","RP",13.3906959822177,5
"141",2018-05-12,"Mushima (New port)","RP",20.8292675382011,5
"142",2018-05-13,"Mushima (Old port)","RP",46.6347895053856,5
"143",2018-05-13,"Mushima (New port)","RP",21.9862271176524,5
"144",2018-05-14,"Mushima (Old port)","RP",29.7293471238794,5
"145",2018-05-14,"Mushima (New port)","RP",23.8039232955576,5
"146",2018-05-15,"Mushima (Old port)","RP",19.8113523329442,5
"147",2018-05-15,"Mushima (New port)","RP",10.3621903644912,5
"148",2018-06-22,"Mushima (Old port)","RP",18.2224938083837,6
"149",2018-06-23,"Mushima (Old port)","RP",22.8700193867628,6
"150",2018-06-24,"Mushima (Old port)","RP",38.2909543736645,6
"151",2018-06-24,"Mushima (New port)","RP",15.947733230855,6
"152",2018-06-26,"Mushima (Old port)","RP",20.6435717867729,6
"153",2018-06-26,"Mushima (New port)","RP",29.293004486064,6
"154",2018-06-27,"Mushima (Old port)","RP",3.72130442773291,6
"155",2018-06-27,"Mushima (New port)","RP",51.4569380126737,6
"156",2018-06-28,"Mushima (Old port)","RP",14.1989533233646,6
"157",2018-06-28,"Mushima (New port)","RP",55.912889346147,6
"158",2018-06-29,"Mushima (Old port)","RP",29.5207728613066,6
"159",2018-06-29,"Mushima (New port)","RP",63.8450549437296,6
"160",2018-06-30,"Mushima (New port)","RP",55.009381402637,6
"161",2018-07-01,"Mushima (Old port)","RP",23.2745769106579,7
"162",2018-07-01,"Mushima (New port)","RP",86.6523516395107,7
"163",2018-07-02,"Mushima (Old port)","RP",1.48404988700448,7
"164",2018-07-02,"Mushima (New port)","RP",78.6031502906641,7
"165",2018-07-03,"Mushima (Old port)","RP",17.9920430071914,7
"166",2018-07-03,"Mushima (New port)","RP",12.5851739307835,7
"167",2018-07-04,"Mushima (Old port)","RP",22.6437586672672,7
