Date,location,key,month,value,ppfd,temperature,log_ppfd,idx
2017-04-10,Tainoura (Isoyake),NEP,4,5.500470572261662,3.8612612257351775,15.759166666666667,1.3509938725265,1
2017-04-10,Arikawa (Sargassum),NEP,4,0.8383499339554845,1.9705325605612358,15.889027777777779,0.6783038415261633,2
2017-04-11,Tainoura (Isoyake),NEP,4,2.755067495465724,3.32031158541479,15.813611111111111,1.2000586295532163,1
2017-04-12,Tainoura (Isoyake),NEP,4,11.278628050980899,18.535178785386847,15.988888888888889,2.9196704823822794,1
2017-04-12,Arikawa (Sargassum),NEP,4,16.15019678236962,21.367602476369665,15.67,3.061875871945432,2
2017-04-13,Tainoura (Isoyake),NEP,4,13.639423891595115,16.163985343577096,16.04125,2.782785640483392,1
2017-04-14,Tainoura (Isoyake),NEP,4,19.714657284170656,15.771907208641013,16.24375,2.758230332701156,1
2017-04-14,Arikawa (Sargassum),NEP,4,21.586151968243428,27.59409094790689,15.942638888888888,3.3176016537109345,2
2017-04-15,Tainoura (Isoyake),NEP,4,15.950498210436592,9.905686411826284,16.56597222222222,2.2931089772775586,1
2017-04-15,Arikawa (Sargassum),NEP,4,29.55562019883473,19.35808870301708,15.915555555555555,2.9631103529571816,2
2017-04-16,Tainoura (Isoyake),NEP,4,20.042910566637318,8.372188872623756,16.563472222222224,2.124915364365562,1
2017-04-16,Arikawa (Sargassum),NEP,4,23.44116144446673,16.015749207202862,16.08513888888889,2.7735725635593327,2
2017-04-17,Tainoura (Isoyake),NEP,4,-4.823499563334721,0.4402780436616575,16.936805555555555,-0.8203488342327081,1
2017-04-18,Tainoura (Isoyake),NEP,4,18.047590399415725,10.597429858174385,16.80777777777778,2.360611505508374,1
2017-04-18,Arikawa (Sargassum),NEP,4,49.2322768557969,17.086304169370937,16.16861111111111,2.8382772168284274,2
2017-04-19,Tainoura (Isoyake),NEP,4,9.928131009633745,13.205707046005049,16.775833333333335,2.5806490881252224,1
2017-04-19,Arikawa (Sargassum),NEP,4,23.75183572102202,23.872905670094482,16.398611111111112,3.1727441618948,2
2017-04-20,Tainoura (Isoyake),NEP,4,8.712987013188567,3.3979867706726923,16.665,1.2231831299733835,1
2017-04-20,Arikawa (Sargassum),NEP,4,13.527611231685555,7.097806123882848,16.50777777777778,1.9597857396617542,2
2017-04-21,Tainoura (Isoyake),NEP,4,10.413293734890416,5.3267662792169945,16.64777777777778,1.6727443522242602,1
2017-04-21,Arikawa (Sargassum),NEP,4,23.032342447589116,13.01355074309755,16.53013888888889,2.5659911794301737,2
2017-04-22,Tainoura (Isoyake),NEP,4,9.196025903269955,10.14248537256669,16.75777777777778,2.3167330739053313,1
2017-04-22,Arikawa (Sargassum),NEP,4,9.559183577568575,21.95425590575436,16.913333333333334,3.0889610116495145,2
2017-04-23,Tainoura (Isoyake),NEP,4,12.380645543244029,10.501742003924505,16.728055555555557,2.3515411485384097,1
2017-04-23,Arikawa (Sargassum),NEP,4,28.67930489914272,25.36497379374631,17.007638888888888,3.2333692378521945,2
2017-04-24,Tainoura (Isoyake),NEP,4,15.07230403762172,10.702088448760193,16.969444444444445,2.3704389045494283,1
2017-04-24,Arikawa (Sargassum),NEP,4,10.27458819663174,26.157776095505103,17.03472222222222,3.2641465113355905,2
2017-04-25,Tainoura (Isoyake),NEP,4,15.256165052976556,7.324392629323525,17.220972222222223,1.9912102339667903,1
2017-04-25,Arikawa (Sargassum),NEP,4,20.84474317718943,22.648729710944906,16.922777777777778,3.1201037669543195,2
2017-04-26,Tainoura (Isoyake),NEP,4,5.208990745225961,1.635593062263787,17.24263888888889,0.4920054677922051,1
2017-04-26,Arikawa (Sargassum),NEP,4,11.087950556040838,4.78123466490196,16.703055555555554,1.5646988112467988,2
2017-04-27,Tainoura (Isoyake),NEP,4,10.757083922165123,7.851672576179643,17.13375,2.0607265761280154,1
2017-04-27,Arikawa (Sargassum),NEP,4,23.527311042251142,20.76813961772257,16.87361111111111,3.0334200632322568,2
2017-04-28,Tainoura (Isoyake),NEP,4,20.900117100291382,7.302820144325226,17.148333333333333,1.9882605946919887,1
2017-04-28,Arikawa (Sargassum),NEP,4,22.963600781189086,24.730123734834727,16.95513888888889,3.2080220849512457,2
2017-04-29,Tainoura (Isoyake),NEP,4,16.194905566592865,6.718013570806977,17.195694444444445,1.904792511254595,1
2017-04-29,Arikawa (Sargassum),NEP,4,29.41580678996658,24.098499071780584,17.22222222222222,3.182149559377952,2
2017-04-30,Tainoura (Isoyake),NEP,4,27.455105103999955,6.412296572184215,17.485416666666666,1.8582174863576928,1
2017-04-30,Arikawa (Sargassum),NEP,4,11.094957539212302,24.48407210799572,17.239583333333332,3.1980227880913206,2
2017-05-01,Tainoura (Isoyake),NEP,5,14.369882834714076,3.7199365302842735,17.420416666666668,1.3137066063879625,1
2017-05-01,Arikawa (Sargassum),NEP,5,23.132611466497366,19.401309007506782,17.45861111111111,2.965340538406725,2
2017-05-02,Tainoura (Isoyake),NEP,5,15.609331443643626,3.6157051176192234,17.395,1.2852868898736356,1
2017-05-02,Arikawa (Sargassum),NEP,5,17.129639379435346,13.972875625267612,17.655555555555555,2.637117994982879,2
2017-05-03,Tainoura (Isoyake),NEP,5,12.891229973449825,6.437001695268076,17.467916666666667,1.8620628564335133,1
2017-05-03,Arikawa (Sargassum),NEP,5,20.74886918058283,18.05677970579101,17.704583333333332,2.893521221225282,2
2017-05-04,Tainoura (Isoyake),NEP,5,17.879987884640514,5.440609195099108,17.556805555555556,1.6938910389912856,1
